date,RSSI
2020-07-08 23:00:19.005894,73
2020-07-08 23:00:20.141842,73
2020-07-08 23:00:21.244874,74
2020-07-08 23:00:22.364875,73
2020-07-08 23:00:23.484877,74
2020-07-08 23:00:24.602927,74
2020-07-08 23:00:25.723905,74
2020-07-08 23:00:26.858839,74
2020-07-08 23:00:27.977833,74
2020-07-08 23:00:29.081834,74
2020-07-08 23:00:30.201869,73
2020-07-08 23:00:31.322851,74
2020-07-08 23:00:32.440832,74
2020-07-08 23:00:33.560841,74
2020-07-08 23:00:34.680842,74
2020-07-08 23:00:35.815875,74
2020-07-08 23:00:36.950861,74
2020-07-08 23:00:38.071844,74
2020-07-08 23:00:39.174880,74
2020-07-08 23:00:40.293837,74
2020-07-08 23:00:41.414851,74
2020-07-08 23:00:42.533836,74
2020-07-08 23:00:43.652882,74
2020-07-08 23:00:44.773894,74
2020-07-08 23:00:45.908884,74
2020-07-08 23:00:47.028848,74
2020-07-08 23:00:48.147901,74
2020-07-08 23:00:49.267835,74
2020-07-08 23:00:50.386833,74
2020-07-08 23:00:51.505834,74
2020-07-08 23:00:52.609832,74
2020-07-08 23:00:53.745838,74
2020-07-08 23:00:54.865889,74
2020-07-08 23:00:55.968834,74
2020-07-08 23:00:57.103836,74
2020-07-08 23:00:58.224846,74
2020-07-08 23:00:59.328842,73
2020-07-08 23:01:00.447903,73
2020-07-08 23:01:01.566839,73
2020-07-08 23:01:02.685839,73
2020-07-08 23:01:03.806890,73
2020-07-08 23:01:04.925886,73
2020-07-08 23:01:06.060840,73
2020-07-08 23:01:07.180884,73
2020-07-08 23:01:08.284844,73
2020-07-08 23:01:09.403867,73
2020-07-08 23:01:10.538923,73
2020-07-08 23:01:11.658840,73
2020-07-08 23:01:12.778835,73
2020-07-08 23:01:13.898836,73
2020-07-08 23:01:15.002843,73
2020-07-08 23:01:16.137875,73
2020-07-08 23:01:17.256834,73
2020-07-08 23:01:18.376838,73
2020-07-08 23:01:19.496838,73
2020-07-08 23:01:20.615864,73
2020-07-08 23:01:21.719874,73
2020-07-08 23:01:22.855842,74
2020-07-08 23:01:23.958836,73
2020-07-08 23:01:25.093839,73
2020-07-08 23:01:26.197873,73
2020-07-08 23:01:27.317837,73
2020-07-08 23:01:28.436832,74
2020-07-08 23:01:29.556864,73
2020-07-08 23:01:30.676837,74
2020-07-08 23:01:31.795837,74
2020-07-08 23:01:32.915837,73
2020-07-08 23:01:34.034838,73
2020-07-08 23:01:35.171891,73
2020-07-08 23:01:36.273916,74
2020-07-08 23:01:37.393833,74
2020-07-08 23:01:38.514839,73
2020-07-08 23:01:39.633881,74
2020-07-08 23:01:40.752881,74
2020-07-08 23:01:41.873843,74
2020-07-08 23:01:42.991833,74
2020-07-08 23:01:44.127882,74
2020-07-08 23:01:45.247898,74
2020-07-08 23:01:46.367837,73
2020-07-08 23:01:47.486889,74
2020-07-08 23:01:48.606894,74
2020-07-08 23:01:49.709878,73
2020-07-08 23:01:50.828888,74
2020-07-08 23:01:51.948874,74
2020-07-08 23:01:53.069857,74
2020-07-08 23:01:54.188839,74
2020-07-08 23:01:55.323872,73
2020-07-08 23:01:56.443894,73
2020-07-08 23:01:57.563837,73
2020-07-08 23:01:58.666841,73
2020-07-08 23:01:59.802838,73
2020-07-08 23:02:00.921831,73
2020-07-08 23:02:02.040892,73
2020-07-08 23:02:03.161892,73
2020-07-08 23:02:04.280834,73
